Quote,Start Location,End Location,Is Quote
"""A gloomy wood,""",46676,46692,True
"""What ho, minion! I need
thee!""",47848,47879,True
"""Hither, hither, from thy home,
         Airy sprite, I bid thee come!
         Born of roses, fed on dew,
         Charms and potions canst thou brew?
         Bring me here, with elfin speed,
         The fragrant philter which I need;
         Make it sweet and swift and strong,
         Spirit, answer now my song!""",48288,48608,True
"""Hither I come,
          From my airy home,
        Afar in the silver moon.
          Take the magic spell,
          And use it well,
        Or its power will vanish soon!""",48886,49062,True
"""Alas! alas for Zara!""",50601,50623,True
"""I told you so! I told you
so!""",50885,50916,True
"""Don't laugh! Act as if it was all right!""",51037,51079,True
"""Bear them to the captives in their cells, and tell them I shall
come anon.""",51772,51848,True
"""minion,""",51979,51988,True
"""stern sire""",53871,53883,True
"""dress-circle""",54230,54244,True
"""Mrs. March's compliments, and would the ladies walk down to
supper.""",54498,54567,True
"""Is it fairies?""",55155,55171,True
"""It's Santa Claus,""",55184,55203,True
"""Mother did it""",55216,55231,True
"""Aunt March had a good fit, and sent the supper,""",55310,55359,True
"""All wrong. Old Mr. Laurence sent it,""",55398,55436,True
"""The Laurence boy's grandfather! What in the world put such a thing into
his head? We don't know him!""",55458,55560,True
"""Hannah told one of his servants about your breakfast party. He is an
odd old gentleman, but that pleased him. He knew my father, years ago;
and he sent me a polite note this afternoon, saying he hoped I would
allow him to express his friendly feeling toward my children by sending
them a few trifles in honor of the day. I could not refuse; and so you
have a little feast at night to make up for the bread-and-milk
breakfast.""",55577,56004,True
"""That boy put it into his head, I know he did! He's a capital fellow,
and I wish we could get acquainted. He looks as if he'd like to know us;
but he's bashful, and Meg is so prim she won't let me speak to him when
we pass,""",56006,56230,True
"""Ohs!""",56311,56317,True
"""Ahs!""",56322,56328,True
"""You mean the people who live in the big house next door, don't you?""",56347,56416,True
"""My mother knows old Mr. Laurence; but says he's
very proud, and doesn't like to mix with his neighbors. He keeps his
grandson shut up, when he isn't riding or walking with his tutor, and
makes him study very hard. We invited him to our party, but he didn't
come. Mother says he's very nice, though he never speaks to us girls.""",56441,56769,True
"""Our cat ran away once, and he brought her back, and we talked over the
fence, and were getting on capitally,--all about cricket, and so
on,--when he saw Meg coming, and walked off. I mean to know him some
day; for he needs fun, I'm sure he does,""",56771,57018,True
"""I like his manners, and he looks like a little gentleman; so I've no
objection to your knowing him, if a proper opportunity comes. He brought
the flowers himself; and I should have asked him in, if I had been sure
what was going on upstairs. He looked so wistful as he went away,
hearing the frolic, and evidently having none of his own.""",57097,57436,True
"""It's a mercy you didn't, mother!""",57438,57472,True
"""But we'll have another play, some time, that he _can_ see. Perhaps
he'll help act; wouldn't that be jolly?""",57507,57615,True
"""I never had such a fine bouquet before! How pretty it is!""",57617,57676,True
"""They _are_ lovely! But Beth's roses are sweeter to me,""",57728,57784,True
"""I wish I could send my
bunch to father. I'm afraid he isn't having such a merry Christmas as we
are.""",57890,57992,True
"""Heir of Redclyffe""",5979,5998,True
"""Jo! Jo! where are you?""",58208,58232,True
"""Here!""",58279,58286,True
"""Heir of Redclyffe,""",58394,58414,True
"""Such fun! only see! a regular note of invitation from Mrs. Gardiner for
to-morrow night!""",58806,58896,True
"""'Mrs. Gardiner would be happy to see Miss March and Miss Josephine at a
little dance on New-Year's Eve.' Marmee is willing we should go; now
what _shall_ we wear?""",58990,59154,True
"""What's the use of asking that, when you know we shall wear our poplins,
because we haven't got anything else?""",59156,59267,True
"""If I only had a silk!""",59303,59326,True
"""Mother says I may when I'm
eighteen, perhaps; but two years is an everlasting time to wait.""",59339,59432,True
"""I'm sure our pops look like silk, and they are nice enough for us.
Yours is as good as new, but I forgot the burn and the tear in mine.
Whatever shall I do? the burn shows badly, and I can't take any out.""",59434,59640,True
"""You must sit still all you can, and keep your back out of sight; the
front is all right. I shall have a new ribbon for my hair, and Marmee
will lend me her little pearl pin, and my new slippers are lovely, and
my gloves will do, though they aren't as nice as I'd like.""",59642,59912,True
"""Mine are spoilt with lemonade, and I can't get any new ones, so I shall
have to go without,""",59914,60007,True
"""You _must_ have gloves, or I won't go,""",60063,60103,True
"""Gloves
are more important than anything else; you can't dance without them, and
if you don't I should be _so_ mortified.""",60125,60247,True
"""Then I'll stay still. I don't care much for company dancing; it's no
fun to go sailing round; I like to fly about and cut capers.""",60249,60380,True
"""You can't ask mother for new ones, they are so expensive, and you are
so careless. She said, when you spoilt the others, that she shouldn't
get you any more this winter. Can't you make them do?""",60382,60577,True
"""I can hold them crumpled up in my hand, so no one will know how stained
they are; that's all I can do. No! I'll tell you how we can manage--each
wear one good one and carry a bad one; don't you see?""",60600,60800,True
"""Your hands are bigger than mine, and you will stretch my glove
dreadfully,""",60802,60878,True
"""Then I'll go without. I don't care what people say!""",60934,60987,True
"""You may have it, you may! only don't stain it, and do behave nicely.
Don't put your hands behind you, or stare, or say 'Christopher
Columbus!' will you?""",61019,61173,True
"""Don't worry about me; I'll be as prim as I can, and not get into any
scrapes, if I can help it. Now go and answer your note, and let me
finish this splendid story.""",61175,61340,True
"""accept with thanks,""",61362,61383,True
"""getting ready for the party.""",61705,61735,True
"""Ought they to smoke like that?""",62073,62105,True
"""It's the dampness drying,""",62146,62173,True
"""What a queer smell! it's like burnt feathers,""",62187,62234,True
"""There, now I'll take off the papers and you'll see a cloud of little
ringlets,""",62302,62382,True
"""Oh, oh, oh! what _have_ you done? I'm spoilt! I can't go! My hair, oh,
my hair!""",62619,62700,True
"""Just my luck! you shouldn't have asked me to do it; I always spoil
everything. I'm so sorry, but the tongs were too hot, and so I've made a
mess,""",62774,62921,True
"""It isn't spoilt; just frizzle it, and tie your ribbon so the ends come
on your forehead a bit, and it will look like the last fashion. I've
seen many girls do it so,""",62991,63158,True
"""Serves me right for trying to be fine. I wish I'd let my hair alone,""",63182,63252,True
"""So do I, it was so smooth and pretty. But it will soon grow out again,""",63276,63348,True
"""quite easy and fine.""",63869,63891,True
"""Have a good time, dearies!""",64124,64152,True
"""Don't eat much supper, and come away at eleven,
when I send Hannah for you.""",64214,64291,True
"""Girls, girls! _have_ you both got nice pocket-handkerchiefs?""",64357,64419,True
"""Yes, yes, spandy nice, and Meg has cologne on hers,""",64421,64474,True
"""I do believe Marmee would ask that if we
were all running away from an earthquake.""",64524,64608,True
"""It is one of her aristocratic tastes, and quite proper, for a real lady
is always known by neat boots, gloves, and handkerchief,""",64610,64740,True
"""aristocratic tastes""",64781,64802,True
"""Now don't forget to keep the bad breadth out of sight, Jo. Is my sash
right? and does my hair look _very_ bad?""",64816,64928,True
"""I know I shall forget. If you see me doing anything wrong, just remind
me by a wink, will you?""",65028,65124,True
"""No, winking isn't lady-like; I'll lift my eyebrows if anything is
wrong, and nod if you are all right. Now hold your shoulders straight,
and take short steps, and don't shake hands if you are introduced to any
one: it isn't the thing.""",65194,65430,True
