Quote,Start Location,End Location,Is Quote
"""A
solitary child, neglected by his friends, is left there still.""",47251,47317,True
"""Why, it's Ali Baba!""",49234,49255,True
"""It's
dear old honest Ali Baba! Yes, yes, I know! One Christmas
time, when yonder solitary child was left here all alone,
he did come, for the first time, just like that. Poor boy! And
Valentine,""",49286,49482,True
"""and his wild brother, Orson; there
they go! And what's his name, who was put down in his
drawers, asleep, at the Gate of Damascus; don't you see him!
And the Sultan's Groom turned upside down by the Genii;
there he is upon his head! Serve him right. I'm glad of it.
What business had he to be married to the Princess!""",49497,49816,True
"""There's the Parrot!""",50072,50093,True
"""Green body and
yellow tail, with a thing like a lettuce growing out of the
top of his head; there he is! Poor Robin Crusoe, he called
him, when he came home again after sailing round the
island. 'Poor Robin Crusoe, where have you been, Robin
Crusoe?'  The man thought he was dreaming, but he wasn't.
It was the Parrot, you know. There goes Friday, running
for his life to the little creek! Halloa! Hoop! Halloo!""",50109,50522,True
"""Poor
boy!""",50635,50646,True
"""I wish,""",50665,50674,True
"""but it's too late now.""",50785,50809,True
"""What is the matter?""",50811,50832,True
"""Nothing,""",50852,50862,True
"""Nothing. There was a boy
singing a Christmas Carol at my door last night. I should
like to have given him something: that's all.""",50877,51007,True
"""Let us see another Christmas!""",51081,51112,True
"""Dear, dear
brother.""",51902,51923,True
"""I have come to bring you home, dear brother!""",51925,51971,True
"""To bring you home, home, home!""",52040,52072,True
"""Home, little Fan?""",52074,52093,True
"""Yes!""",52113,52119,True
"""Home, for good
and all. Home, for ever and ever. Father is so much kinder
than he used to be, that home's like Heaven! He spoke so
gently to me one dear night when I was going to bed, that
I was not afraid to ask him once more if you might come
home; and he said Yes, you should; and sent me in a coach
to bring you. And you're to be a man!""",52153,52495,True
"""and are never to come back here; but
first, we're to be together all the Christmas long, and have
the merriest time in all the world.""",52530,52665,True
"""You are quite a woman, little Fan!""",52667,52703,True
"""Bring down Master
Scrooge's box, there!""",53016,53057,True
"""something""",53684,53695,True
"""Always a delicate creature, whom a breath might have
withered,""",54125,54189,True
"""But she had a large heart!""",54206,54234,True
"""So she had,""",54236,54249,True
"""You're right. I will not
gainsay it, Spirit. God forbid!""",54265,54323,True
"""She died a woman,""",54325,54344,True
"""and had, as I think,
children.""",54361,54393,True
"""One child,""",54395,54407,True
"""True,""",54427,54434,True
"""Your nephew!""",54451,54465,True
"""Yes.""",54524,54530,True
"""Know it!""",55030,55040,True
"""Was I apprenticed here!""",55055,55080,True
"""Why, it's old Fezziwig! Bless his heart; it's Fezziwig
alive again!""",55299,55368,True
"""Yo ho, there! Ebenezer! Dick!""",55656,55687,True
"""Dick Wilkins, to be sure!""",55790,55817,True
"""Bless me, yes. There he is. He was very much attached
to me, was Dick. Poor Dick! Dear, dear!""",55845,55940,True
"""Yo ho, my boys!""",55942,55959,True
"""No more work to-night.
Christmas Eve, Dick. Christmas, Ebenezer! Let's
have the shutters up,""",55975,56069,True
"""before a man can say Jack Robinson!""",56122,56159,True
"""Hilli-ho!""",56451,56462,True
"""Clear away, my lads,
and let's have lots of room here! Hilli-ho, Dick! Chirrup,
Ebenezer!""",56541,56632,True
"""Well done!""",58395,58407,True
"""Sir Roger de Coverley.""",59196,59220,True
"""cut""",60143,60148,True
"""A small matter,""",61180,61197,True
"""to make these silly
folks so full of gratitude.""",61214,61263,True
"""Small!""",61265,61273,True
"""Why! Is it not? He has spent but a few pounds of
your mortal money: three or four perhaps. Is that so
much that he deserves this praise?""",61439,61577,True
"""It isn't that,""",61579,61595,True
"""It isn't that, Spirit. He has the power to render us happy
or unhappy; to make our service light or burdensome; a
pleasure or a toil. Say that his power lies in words and
looks; in things so slight and insignificant that it is
impossible to add and count 'em up: what then? The happiness
he gives, is quite as great as if it cost a fortune.""",61698,62040,True
"""What is the matter?""",50811,50832,True
"""Nothing particular,""",62125,62146,True
"""Something, I think?""",62162,62183,True
"""No,""",62205,62210,True
"""No. I should like to be able to say
a word or two to my clerk just now. That's all.""",62225,62310,True
"""My time grows short,""",62453,62475,True
"""Quick!""",62497,62505,True
"""It matters little,""",63148,63168,True
"""To you, very little.
Another idol has displaced me; and if it can cheer and comfort
you in time to come, as I would have tried to do, I have
no just cause to grieve.""",63187,63354,True
"""What Idol has displaced you?""",63356,63386,True
"""A golden one.""",63401,63416,True
"""This is the even-handed dealing of the world!""",63418,63465,True
"""There is nothing on which it is so hard as poverty; and
there is nothing it professes to condemn with such severity
as the pursuit of wealth!""",63475,63618,True
"""You fear the world too much,""",63620,63650,True
"""All your other hopes have merged into the hope of being
beyond the chance of its sordid reproach. I have seen your
nobler aspirations fall off one by one, until the master-passion,
Gain, engrosses you. Have I not?""",63673,63888,True
"""What then?""",63890,63902,True
"""Even if I have grown so
much wiser, what then? I am not changed towards you.""",63916,63994,True
"""Am I?""",64017,64024,True
"""Our contract is an old one. It was made when we were
both poor and content to be so, until, in good season, we could
improve our worldly fortune by our patient industry. You
are changed. When it was made, you were another man.""",64026,64254,True
"""I was a boy,""",64256,64270,True
"""Your own feeling tells you that you were not what you
are,""",64293,64353,True
"""I am. That which promised happiness
when we were one in heart, is fraught with misery now that
we are two. How often and how keenly I have thought of
this, I will not say. It is enough that I have thought of it,
and can release you.""",64368,64602,True
"""Have I ever sought release?""",64604,64633,True
"""In words. No. Never.""",64635,64657,True
"""In what, then?""",64659,64675,True
